SYMBOL	meta2d_pvalue
Rhbdd1	1.44154e-15
Col4a3	0
Mff	6.43841
Agfg1	5.45647
Ccl20	0
Daw1	0
Fbxo36	11.4204
Gm15433|||Gm7609|||Csprs|||Gm2666|||Gm38510|||LOC100041903|||LOC101055758	4.7687
A530040E14Rik|||LOC102634459	0.00158982
A530040E14Rik	7.52231e-08
Gm7609|||Gm15433|||Csprs|||Gm2666|||Gm38510|||LOC100041903|||LOC101055758	3.13292
Sp110|||Gm15753|||LOC100041034|||LOC102633783|||LOC546061|||LOC102638047	1.0689e-08
Sp140|||A530032D15Rik|||C130026I21Rik|||LOC105243968|||LOC101055672|||LOC100041057	14.0908
Sp100	1.29112e-07
Cab39	2.68767e-07
Itm2c	0.955416
4933407L21Rik	0.481647
Spata3	8.75273e-09
2810459M11Rik	0
Psmd1	5.2348e-09
Armc9	2.88308e-15
B3gnt7	0
C130036L24Rik	1.0328e-09
Tex44	0.0001914
Cops7b	5.7294e-06
Dis3l2	4.76275
Akp3	7.98084e-11
Prss56	0
Chrnd	2.88308e-15
Chrng	0.731857
Eif4e2	0
Efhd1	0
Gigyf2	1.04062
Neu2	2.24487
3110079O15Rik	0
Inpp5d	0
Atg16l1	0
Sag	0.0423351
Dgkd	0.0511904
Ugt1a2|||Ugt1a6a|||Ugt1a6b|||Ugt1a10|||Ugt1a7c|||Ugt1a5|||Ugt1a9|||Ugt1a1	2.56477e-09
Mroh2a	0
Trpm8	0.000646674
Spp2	1.44154e-15
Sh3bp4	0
Agap1	5.34284
Ackr3	11.8128
Cops8	3.14493e-11
Gm9991	4.24134e-13
Mlph	1.59851e-12
Prlh	0
Lrrfip1	0.676214
Rbm44	3.52031e-10
Ramp1	2.50524
Ube2f	0.778072
Scly	3.9393e-09
Espnl	1.7061
Klhl30	0.18336
Erfe	0
Traf3ip1	2.42574
Asb1	0.0542768
Twist2	1.40791
Olfr1413	14.3866
Olfr1412	8.45146e-06
Olfr1411	9.80249e-14
Olfr1410	1.15323e-14
Olfr12	0
Gpr35	0
Gpc1	1.16492
Mir149	0.334153
Dusp28	0
Rnpepl1	1.33747e-06
Capn10	0
Aqp12	0
Agxt	0
Crocc2	1.01814e-10
Sned1	0
Ppp1r7	0.464939
Ano7	0.339777
Sept2	0.00460302
Farp2	0.215722
Bok	0
Atg4b	0
Ing5	0
D2hgdh	0
Gal3st2|||Gal3st2b|||Gal3st2c	0.432396
Gal3st2b|||Gal3st2|||Gal3st2c	0.000163415
Gal3st2c	1.76301e-12
Neu4	8.70701
Fam174a	3.54104
Gin1	0
Slco6d1	5.16553e-13
Cntnap5b	5.47983
Cdh20	0.315034
2310035C23Rik	1.60889
Zfp706	8.88287
Tnfrsf11a	1.05158
Zcchc2	0.672825
Phlpp1	0
Serpinb5	0
Serpinb12	0
Serpinb13	4.41864e-10
Serpinb11	5.63545e-11
Serpinb7	1.44154e-14
Serpinb2	7.24812
Serpinb10	0
Serpinb8	0
Cdh7	4.14756
Cntnap5a	8.76146
Nifk	2.88308e-15
Clasp1	7.68324
Tfcp2l1	0
Tmem185b	5.6691
Sctr	2.76383e-10
3110009E18Rik	4.84303
C1ql2	8.10503e-08
En1	6.99628e-13
Ccdc93	0
Slc35f5	2.1171
Gpr39	0
Mgat5	4.40036
Acmsd	0
Ccnt2	0.213966
Rab3gap1	0.82093
R3hdm1	1.07564
Mir128-1	0.142279
Ubxn4	0
Thsd7b	0.000174618
Yod1	8.64925e-15
AA986860	8.28694e-08
Fcamr	9.2243e-11
Pigr	1.29739e-14
Fcmr	3.60097e-12
Il10	0
Eif2d	1.26488e-10
Fam72a	0
Avpr1b	0
Ctse	0
Rab7b	0
Slc26a9	2.56755e-13
Pm20d1	6.81736
Slc41a1	2.92839e-06
Rab29	1.47335
Nucks1	0.563138
Slc45a3	0
Elk4	0.0202614
Lemd1	0.00024615
Mir135b	4.01164e-07
Klhdc8a	0
Nuak2	0.158698
Dstyk	0
Rbbp5	5.17495
Tmem81	0.108119
Gm10538	0
Lrrn2	2.16353
Pik3c2b	0
Ppp1r15b	0.916194
Plekha6	8.9683
Golt1a|||Kiss1	0
Ren1|||Ren2	0.157347
Etnk2	5.76617e-14
Fmod	0.00130771
Chit1	3.8717e-08
Chil1	2.92964
Mybph	0.0175843
Myog	0.00210746
4933406M09Rik	2.97118e-13
Cyb5r1	0.218903
Adipor1	7.36644e-12
Klhl12	3.05283e-10
Rabif	5.35958
Kdm5b	0
Syt2	0
Ube2t	2.35915
Ptpn7	1.8686e-06
Arl8a	0.390138
Lmod1	0.151444
Gm4793	0
Csrp1	0
Phlda3	2.91352e-13
Tnni1	1.67331
Lad1	3.17139e-14
Tnnt2	0.00296015
Tmem9	5.32704
Ascl5	0.382233
Cacna1s	0.178608
Kif21b	8.00487
Ddx59	6.01888e-08
Kif14	0
Zfp281	0.360852
Mir181a-1	0
Mir181b-1	5.02667
Atp6v1g3	0
Dennd1b	0
Zbtb41	0
Aspm	0
F13b	0.183173
Kcnt2	6.25754
B3galt2	2.28678
Glrx2	1.69131e-09
Uchl5	1.05183e-05
Brinp3	3.56659
Ptgs2	0.0542649
Pdc	0.238631
Tpr	0
Ivns1abp	4.75709e-14
Trmt1l	0.576503
Fam129a	0
Edem3	1.09845
Colgalt2	1.13901e-11
Apobec4	0
Arpc5	0
Ncf2	8.8836
Nmnat2	5.60868
Shcbp1l	0.085461
Rgs8	1.05924e-08
Rgs16	26.7058
Rnasel	7.2808e-06
Teddm1b	1.10102e-06
Teddm1a	0
Glul|||Mir8114	0.0513645
Zfp648	0.0205542
Stx6	7.81106
Acbd6	1.29153e-09
Tor1aip2	0
Nphs2	5.16417
Abl2	7.97813e-13
Angptl1	3.05798e-05
2810025M15Rik	3.79774
Cryzl2	0.213833
Sec16b	0
Astn1	9.70466
Mir488	3.25396e-09
Tnr	2.66169
4930523C07Rik	2.91491
Mrps14	0
Rc3h1	1.02127e-06
Serpinc1	2.59478e-14
Gas5	0.178318
Snord47	0.595033
Cenpl	0
Ankrd45	9.26097
Tnfsf4	0.467017
Tnfsf18	13.1513
Pigc	0
Dnm3os|||Mir214|||Mir199a-2	1.9037e-07
Vamp4	0.503679
Myoc	3.26109e-13
Kifap3	5.85471
Scyl3	0.16974
Mettl18	1.58879
Sele	6.87992e-06
Sell	6.93733e-10
Selp	0.0878591
F5	0.0204032
Slc19a2	0
Ccdc181	5.07005
Nme7	1.38079e-10
Dpt	0.0706307
Gpr161	1.99705e-09
Mpc2	0
Adcy10	2.33572e-08
Creg1	4.5254e-07
Cd247	0.414256
Gpa33	0.00690024
Ildr2	0
Tada1	1.06392
Fam78b	0.377927
Tmco1	7.47431e-11
Aldh9a1	0.000174576
Rxrg	1.63455e-12
Lmx1a	0
Rgs5	0.908246
Ccdc190	5.31519
Sh2d1b2	0.469903
Sh2d1b1	0
Spata46	5.11649
Olfml2b	1.06427e-11
Gm39701	0
LOC102638466	5.12186e-09
Fcgr4	4.88882e-10
Cfap126	0
Mpz	2.08345
Nr1i3	6.40092e-08
Apoa2	2.57522
Adamts4	0.218206
B4galt3	3.39083e-13
Dedd	2.6331e-09
Pfdn2	0.150912
Nectin4	1.06932
Arhgap30	0.108075
Usf1	0.0202275
F11r	0
Alyref2	1.19445e-09
Cd244|||LOC677008	0.0202298
Cd48	5.68854
Tma7	0
Slamf1	3.92708e-12
Cd84	0.15998
Slamf6	1.09795
Copa	4.63677
Pex19	0.00724253
Dcaf8	0
Igsf8	3.13859
Kcnj10	0.00488214
Pigm	2.69034e-09
Slamf9	0.0949666
Igsf9	0
Tagln2	0
Cfap45	0
Vsig8	5.53158e-11
Crp	1.44154e-14
Olfr16	0
Olfr218	1.02556e-07
Olfr1404	1.74152
Olfr418	1.46145
Aim2	4.19324
Ifi209	2.50355
Ifi208	1.41585e-08
Olfr433	1.21858
Olfr432	4.69509e-10
Olfr430	0.0158603
Olfr429	0
Olfr427|||Olfr426	0.0927931
Olfr424	2.54266
Olfr421-ps1	8.81423e-13
Olfr420	5.95699e-10
Spta1	1.59033e-07
Mptx1	1.08882e-07
Olfr417	0
Olfr248	1.33244
Olfr414	8.08072
Olfr220	3.86161
Fmn2	0.346167
Kmo	2.75017
Wdr64	2.09099e-09
Exo1	3.19012
Sdccag8	0.0299281
Zbtb18	0
1700016C15Rik	0
Gm16432|||Catspere1	8.8388e-08
Desi2	0.918329
Cox20	2.09633
Efcab2	0
Kif26b	0
Cnst	3.35295
Sccpdh	8.36094e-14
Cdc42bpa	1.56477
Itpkb	4.43045
Parp1	3.8289e-12
Lin9	8.41236
Acbd3	6.73601e-12
Sde2	1.65925e-11
Lefty2	1.29739e-14
Pycr2	0
Lefty1	4.41731
Tmem63a	4.32463e-15
9130409I23Rik	0.0017694
Cnih4	0
A430110L20Rik	0.000719466
Haus5	1.46997e-08
Cnih3	0.0547135
Srp9	1.07497
Trp53bp2	0.0513047
Capn8	0
Susd4	0.783026
Dusp10	2.87619
Rab3gap2	5.05322
Snora36b|||Mir664	1.01505
Mir194-1	0
Mir215	0.769975
Bpnt1	0.480854
Eprs	1.03413e-08
Slc30a10	1.89305
D1Pas1	2.84144e-13
Gpatch2	0
Esrrg	0.235761
Ush2a	7.3182e-07
Ptpn14	0
Angel2	0.166453
A230020J21Rik	0
Spata45	1.97796e-12
Nsl1	1.76068e-07
Batf3	1.10066
D730003I15Rik	18.7242
Tmem206	1.44154e-15
Ints7	3.92768
Lpgat1	2.24371
Nek2	0
Slc30a1	0.00297232
Rd3	1.64842e-11
Gm10516	1.44154e-14
Kcnh1	1.51065e-07
Irf6	1.08554e-10
A130010J15Rik	4.53508
Lamb3	0
Plxna2	1.95669e-05
Cd34	0
A330023F24Rik	4.32463e-15
A330023F24Rik|||Mir29b-2	0.680261
A330023F24Rik|||Mir29c	0
Xkr4	1.68821e-13
Rp1	4.48069e-07
Sox17	0.958705
Mrpl15	7.5811
Rgs20	0
Npbwr1	2.8905e-06
Sntg1	3.51077e-06
Mybl1	3.60385e-14
Vcpip1	7.72469
Snord87	0.42233
Tcf24	0.00954321
Ppp1r42	0.66646
Cops5	0.23085
Arfgef1	1.10889e-06
Cpa6	0
Slco5a1	4.32463e-15
Prdm14	5.44253e-06
Ncoa2	0.856177
Tram1	2.27296
Lactb2	0
Gm5523|||Gapdh-ps15|||Gapdh|||Gm12070|||Gm5069|||3000002C10Rik	0.695443
Eya1	6.81212e-10
Msc	1.025e-09
Sumo2|||LOC102636299	2.17847e-11
Trpa1	0.0219416
Sbspon	0
4930444P10Rik	0.0512172
Rpl7|||Gm12174	1.20443
Stau2	4.33388
Ube2w	2.02223
Eloc	6.62673
Jph1	0.0512734
Crisp4	0
Defb44-ps	3.33894
Defb18	0
Defb41	1.12976
Pkhd1	1.94829
Il17f	0.74238
Mcm3	2.53901
Tram2	0.558987
Gm4956	3.57629e-11
Kcnq5	1.52107
Rims1	1.17466
4933415F23Rik	0
Ogfrl1	1.15059
Smap1	0
Sdhaf4	0.736868
Fam135a	0.000664144
Col19a1	0
ATP6|||Gm10925	0.00743136
COX2	1.12343e-10
Adgrb3	7.83896
4931408C20Rik	0.0494453
Gm7846|||Lsm5	1.41901e-05
Gm597	9.25189e-08
Phf3	1.11249
4931428L18Rik	0.254879
Gm9839|||Gm5415|||4930444G20Rik|||AF366264|||1700007E05Rik	1.97238
Gm5415|||Gm9839|||4930444G20Rik|||AF366264|||1700007E05Rik	3.62671
Prim2	3.68809
Bag2	0
Zfp451	2.73259
Gm15455	0
Bend6	7.97413
Ccdc115	0.151146
Prss40	0
Fam168b	0.426685
Uggt1	4.75112e-07
Neurl3	1.44616
Kansl3	0.0625728
Lman2l	5.59026
Ankrd23|||Ankrd39	0.0515186
Ankrd39|||Ankrd23	2.41227
Sema4c	0.0392742
Fam178b	0.598191
Actr1b	13.5582
Tmem131	3.41859
Coa5	0.174749
Mgat4a	8.35386
2010300C02Rik	0
Tsga10	7.54327
Mitd1	6.59092
Lyg2	0
Lyg1	9.73517e-11
Txndc9	2.55938e-12
Rev1	0.0270546
Aff3	7.30373
Lonrf2	4.52631
Chst10	0.00351339
Tbc1d8	0
Rnf149	4.34798
Creg2	1.86901e-11
Rfx8	0
Mfsd9	1.44154e-15
Pantr1	4.39013
Tgfbrap1	4.48046
Fhl2	1.00874e-06
Uxs1	0
Mettl21c	4.12492
Tex30	0.0767821
Kdelc1	0.453751
Mettl21e	4.54454e-12
Col5a2	0.0216995
Slc40a1	5.04956e-06
Stk-ps2	0
Slc39a10	13.7123
Dnajb6|||Gm5917|||LOC102633596	2.97131
Nabp1	0.236293
Myo1b	0
Rpl15	1.18858
Gls	4.07202
Nab1	1.05696e-05
Mfsd6	4.62248e-10
Inpp1	0.96477
1700019D03Rik	0.0539335
1700019A02Rik	2.28393e-11
Pms1	0.192172
Asnsd1	2.29958e-07
Dnah7a|||Dnah7c|||Dnah7b	4.23471e-05
Dnah7a	11.5726
Stk17b	9.35689e-11
Hecw2	0.21384
Gtf3c3	1.62607
Pgap1	6.88437
Ankrd44	3.89216e-14
Sf3b1	0
Rftn2	12.0199
Boll	0.430633
Gm6644|||Akr1b3	3.83959e-11
Hsfy2	3.00001e-13
Satb2	1.06151
Tyw5	1.2327e-06
Kctd18	5.76617e-15
Clk1	0.0512197
Ppil3	2.22158e-13
Orc2	1.93642
Fam126b	2.10686
Als2cr12	0
Trak2	0
Als2cr11b	1.50201
Als2cr11	0
Tmem237	1.0703e-07
Als2|||Mpp4	0
Sumo1	1.84106e-09
Ica1l	3.00728
Wdr12	0.568333
Raph1	7.20771e-15
Ino80d	0.149073
Ndufs1	0.000287022
Gpr1	0
Dytn	5.84305e-13
Mdh1b	6.35428e-05
4933402D24Rik	0.00436234
Klf7	1.09089
Mettl21a	0
Fzd5	0.00208855
Plekhm3	1.62558
Akr1cl	2.88308e-15
Cryge|||Crygf	0
Crygd	1.07449e-10
Crygc	5.42147e-07
Crygb	5.37263e-12
Cryga	4.30831
D630023F18Rik	0.114416
Idh1	0.640304
Kansl1l	0
Acadl	0
Myl1	0
Lancl1	2.04554
Erbb4	9.03913
Ikzf2	4.40539
Bard1	2.9975e-05
Abca12	1.15548e-05
Fn1	2.45531e-09
Mreg	0.0514385
Pecr	0
March4	3.96959
Ankar	0.00252071
Igfbp5	2.87461
Tnp1	0
Tns1	0.176501
Cxcr1	4.78912e-13
Aamp	0
Tmbim1	0
Usp37	1.31647
Zfp142	0.0204025
Rnf25	4.10489
Prkag3	0.363395
Fev	0
Cryba2	3.14761
Mir375	1.74845
Cfap65	4.14169e-10
Ihh	0.0220265
Nhej1	0
Slc23a3	0
Cnppd1	0.679326
Abcb6	0.00107194
Atg9a	5.73422
Glb1l	2.55272e-10
Tuba4a	8.84764
Ptprn	7.95159
Resp18	5.6899
Dnpep	0.0221368
Chpf	0
Obsl1	8.44041e-09
Epha4	2.78013
Pax3	9.12502e-09
Farsb	10.0577
BC035947	1.33181e-08
Scg2	3.4736
Ap1s3	1.35659e-06
Wdfy1	2.00666e-08
Serpine2	4.2663
Slc25a5	2.62275e-05
Fam124b	0
Cul3	0.594131
Dock10	0
Col4a4	1.74148
Tm4sf20	0
Gm17764	1.44154e-14
Slc19a3	11.4448
Sphkap	3.19837
Pid1	10.0713
Dner	5.53592
Trip12	4.81626
Slc16a14	0
C130026I21Rik|||LOC102637495|||Sp110|||A530032D15Rik|||Gm15753|||Sp140|||LOC100041057|||LOC100041034|||LOC101055672|||LOC102638047|||LOC664787|||LOC546061|||LOC105242429	1.88042e-10
Gm7609|||Sp100|||LOC101055758|||LOC100039029|||LOC101055663|||LOC671917|||LOC102636558	3.80616
A530032D15Rik|||Sp140	8.02857
A530032D15Rik	1.96874
Gm2666|||Csprs|||Gm7609|||Gm15433|||Gm38510|||LOC100041903|||LOC101055758	2.42988
Sp110|||Gm15753|||C130026I21Rik|||LOC100041034|||LOC102638047|||LOC546061|||LOC664787|||LOC102633783|||LOC100041057	2.14238e-08
LOC102634459|||A530040E14Rik	0.00158982
A630001G21Rik	2.66597e-08
Gpr55	0.449562
Htr2b	0
Ncl	1.1641e-10
Snora75	0
Gm24148	0.0203226
Snord82	1.44154e-15
Nmur1	0
Pde6d	2.32803e-08
Nppc	5.73615e-10
Rpl6	0.375896
Alppl2	0
Alpi	9.81286e-05
Ecel1	9.60676e-11
Kcnj13	2.06916e-09
Ngef	0
Usp40	2.32381
Dnajb3	0.030962
Hjurp|||6430706D22Rik	2.69016
Glrp1	4.8453e-05
Arl4c	0
Gbx2	0
Asb18	0
Iqca	1.44154e-15
Col6a3	0
Rab17	1.13798
Ilkap	5.33252
Hes6	0.374919
Per2|||9830107B12Rik	31.572
Hdac4	0
Ndufa10	7.82271
Olfr1416	0.113
Olfr1415|||Olfr1416|||Olfr1414	0.935119
Olfr1414	0.291881
Cops9	3.10423
Otos	2.09184e-12
Ankmy1	1.18323e-05
9430060I03Rik	0.590153
Kif1a	4.48074
2310007B03Rik	1.44154e-15
Mterf4	1.62751e-09
Pask	0
Hdlbp	0.155796
Stk25	9.77602
Thap4	0
Dtymk	0
Pdcd1	5.1545e-10
St8sia4	0.378686
Slco4c1	1.44154e-15
Slco6b1	0.394585
Slco6c1	0.000186153
D1Ertd622e	8.53172
Ppip5k2	0
Pam	0.844954
Rnf152	2.53999e-08
Pign	1.04958e-06
Bcl2	1.08516e-08
Kdsr	0
Serpinb3a	3.90672e-06
Serpinb3d	0
Serpinb3b	0
Serpinb3c	0.0201855
Cdh19	8.5978
Dsel	10.9568
Tsn	4.22174
2900060B14Rik	0
Gli2	0
Inhbb	0.000127291
Ralb	1.73146
Epb41l5	0.0558474
Ptpn4	5.85526
Tmem177	0
Cfap221	0
Tmem37	1.79744
Dbi	3.67914e-13
Steap3	1.93471e-12
Marco	5.26445
Insig2	5.76617e-15
Htr5b	2.21741e-12
Ddx18	0.0680553
Dpp10	1.19685
Actr3	0.0948113
Lypd1	5.44728
Nckap5	0.732013
Gm8451|||Rpl27a	0
Tmem163	0
Map3k19	10.8285
Zranb3	0.925151
Lct	0
Mcm6	1.81392
Dars	10.9497
Cxcr4	0.00340012
Cd55b	1.04769
Cd55|||Cd55b	5.16436
Zp3r	1.82381
C4bp	1.11891e-09
C4bp-ps1	0
Pfkfb2	4.0563
Il24	2.73426
Il20	0.827769
Il19	0
Mapkapk2	0
Dyrk3	0
Rassf5	0
Ikbke	2.03707e-09
Srgap2	3.21337
Mfsd4a	5.91191
Cdk18	0.332352
Tmcc2	7.19906e-12
Cntn2	0.302729
Nfasc	0.218185
Mdm4	1.305
Sox13	0
Snrpe	6.22431
Zc3h11a|||Zbed6	2.90711
Atp2b4	8.55571
Optc	2.06743e-09
Prelp	6.11791e-10
Btg2	0.736688
Adora1	0.00296011
Ppfia4	1.95427
Tmem183a	0.647734
Mgat4e	0
Ppp1r12b	4.40417
Lgr6	0
Ptprv	3.78837e-11
Gpr37l1	1.16764
Elf3	1.72316e-11
Rnpep	2.13027
Timm17a	4.20016
Shisa4	1.04071
Ipo9	4.60578
Nav1	12.8986
Pkp1	0
Igfn1	0
5730559C18Rik	0
Gpr25	8.2554e-06
Camsap2	0.00085482
Nr5a2	0
Ptprc	0.289512
Nek7	5.32487
Lhx9	1.58096e-10
Crb1	0
Gm4788|||Cfhr1|||Cfhr3	2.30883
Cfhr1	0.000161196
Cfhr3	1.58095
Cfhr2|||Gm41963	3.28452
Cfh	1.09825e-07
Cdc73	0
Trove2	1.01859
Rgs2	6.56723
Rgs13	1.79742e-05
Rgs1	0
Rgs21	3.59897e-09
Rgs18	0.702234
E430024I08Rik|||Zfp825	0
Pla2g4a	3.35134
Rbm3-ps|||Rbm3	17.0933
Bex4	0.290064
BC003331	1.8431
Prg4	4.31999e-09
Hmcn1	6.70798e-13
Swt1	7.46412
Rnf2	2.62445e-07
Gm25279	0
1700025G04Rik	0.903861
Tsen15	0.0230845
Rgl1	0.00175582
Smg7	0.16258
Lamc2	0.677533
Lamc1	1.53718e-10
E330020D12Rik	3.42393
Dhx9	1.50916
Npl	10.5537
Sord	1.5737
Rgsl1	1.44154e-14
Teddm2	0
Cacna1e	7.22645
Ier5	10.3779
Mr1	4.14085e-06
BC034090	2.67903e-12
Xpr1	4.79476
Gm5532	0.177079
Lhx4	1.91095e-09
Qsox1	0.097636
Cep350	2.67261
Tor1aip1	0.463144
Fam163a	2.88308e-15
Tdrd5	0.0267557
Axdnd1	0.0201874
Soat1	0
Tor3a	2.37576e-10
Fam20b	0
Ralgps2	1.44396
Tex35	0.00179888
Rasal2	0.481378
Brinp2	0.157094
Pappa2	0
4930562F07Rik	6.01061e-10
Tnn	0.611129
Cacybp	7.4211
Rabgap1l	0
Gpr52	0
Zbtb37	2.23743
Dars2	0.122447
Klhl20	0.959117
Tex50	2.55176
Prdx6	0.662192
Aph1a	0
Fasl	0
Suco	2.09263
4930558K02Rik	0.000141809
Dnm3	4.0053
Mettl13	1.07907
7420461P10Rik	0.714071
Prrc2c	3.89088
Fmo4	0.630411
Fmo1	5.48077
Fmo2	12.8934
Fmo3	0.229754
Mroh9	5.43889e-05
Prrx1	0.588229
Gorab	1.32909
Mettl11b	0
BC055324	0.116106
Blzf1	6.88404e-07
Atp1b1	6.14089
Xcl1	0.00154299
Tbx19	1.21432e-11
Sft2d2	0.0521633
Tiprl	4.64315
Dcaf6	3.4118
Mpzl1	0.00108947
Rcsd1	2.24526
Pou2f1	0
Dusp27	0.00296503
Mael	6.78302
Pogk	0.0204725
Gm4847	0.0519873
Fmo9	5.94303e-05
Uck2	0.47319
Mgst3	0.149032
Lrrc52	2.44365
Pbx1	4.79367
Nuf2	0.0112456
Rgs4	0
Hsd17b7	1.06749
Ddr2	1.9283e-09
Uap1	0
Uhmk1	4.53157e-12
Nos1ap	2.11362e-12
Atf6	4.57996e-09
Dusp12	0
Fcrlb	3.84623e-06
Fcrla	6.2463e-11
Fcgr2b	0.0512608
Fcgr3	1.19184e-05
Sdhc	3.01712e-05
Pcp4l1	5.88343
Tomm40l	9.53017
Fcer1g	0
Ndufs2	4.38372
Ppox	0.109346
Usp21	0
Ufc1	0.00471627
Rpl27	1.66406
Nit1	2.44478
Klhdc9	2.43217
Itln1|||Itlnb	2.51328e-09
Ly9	1.54898e-05
Slamf7	2.97671e-09
Vangl2	0.665618
Nhlh1	0.00296012
Ncstn	2.52381e-06
Timm23	1.15648
Pea15a	4.80366
Casq1	0
Atp1a4	2.13316e-11
Atp1a2	0
Kcnj9	0.917932
Slamf8	2.0895e-10
Fcrl6	6.84805
Dusp23	1.02141e-12
Apcs	6.69239e-05
Olfr1408	0
Olfr1406	0
Fcer1a	1.43704
Ackr1	0.0681692
Cadm3	4.56518
LOC102639543	0.224494
Ifi214	0.315439
Ifi213	3.69412e-10
